object_id,ein,GrntRcrdsMntndInd,Ttl501c3OrgCnt,TtlOthrOrgCnt
201532299349302483,581249683,1,-,-
201532299349302568,030219309,true,14,-
201542269349301474,650000627,true,-,-
201530129349300863,410695509,1,-,-
201510159349300611,042105776,1,-,-
201510159349301406,350867954,true,-,-
201510099349301501,592139553,true,-,-
201530139349300813,132553815,1,-,-
201510129349300331,366069820,1,25,-
201500149349300810,560530240,1,-,-
201500129349300710,131916574,1,1,-
201530129349300133,620475751,1,-,-
201520139349301112,370661231,true,0,0
201540099349301174,750859801,true,0,0
201510099349301271,560547478,true,-,-
201500129349301310,390806297,1,-,-
201500129349301325,204093450,1,-,-
201510159349300311,420707124,1,-,-
201520149349301257,560532303,1,-,-
201520149349301262,620518288,true,-,0
201510129349300731,620548913,1,-,-
201520129349301462,710239383,0,-,-
201530149349300748,370661217,1,-,-
201500139349300035,560554199,1,-,-
201520129349301107,240795495,1,-,-
201540219349300119,610444671,true,-,-
201500219349300605,420698196,1,-,-
201500169349300030,042720310,1,-,-
201510139349301301,042596491,1,-,-
201520229349300902,131740285,true,-,-
201510199349300201,020309681,true,-,-
201530219349300213,391201561,1,-,-
201520169349300027,362216176,true,-,-
201530229349300913,381393841,1,-,-
201520169349300922,480623882,true,2,-
201520099349301152,310970262,true,-,-
201520099349301257,460224589,true,-,-
201500219349300245,610444788,1,-,-
201500129349301275,382333042,true,-,-
201520299349300737,510175975,true,-,-
201520299349300007,430653369,true,-,-
201520239349300007,951716809,1,-,-
201520239349300107,900394713,1,-,-
201520239349300722,430655867,true,-,-
201500239349300505,800477644,1,-,-
201520279349300217,440545280,true,4,0
201500239349300040,020423502,false,0,0
201500239349300105,952592468,1,-,-
201540239349300839,111733439,true,-,-
201520279349300737,610673886,1,-,-
201500289349301350,042325504,1,-,-
201520289349300407,941021164,1,-,-
201510239349300106,363005527,1,-,-
201500359349300125,131632522,true,-,-
201500309349301800,042111203,1,6,0
201500359349301115,131988190,1,-,-
201520369349300042,231608264,true,-,-
201510309349300546,340868798,0,-,-
201500349349300965,910473310,1,-,-
201530369349300718,362181973,true,-,-
201500309349300205,350845258,true,-,-
201510369349301501,930309970,1,-,-
201530349349300408,410693977,1,-,-
201500339349300225,450350756,1,-,-
201500349349300345,742599785,1,-,-
201500349349300510,310544271,1,-,-
201500339349300905,233069199,1,-,-
201500339349300705,470377991,true,-,-
201510359349300401,030213180,false,0,0
201530309349301008,231382408,true,-,-
201530309349301108,420680351,1,-,-
201520419349301407,150533545,true,-,-
201520419349301982,540505922,1,-,-
201530409349300408,420772559,1,-,-
201520419349300217,340714629,true,-,-
201500439349302555,364479457,1,-,-
201540429349301964,010271210,1,-,-
201540429349301289,231352652,1,-,-
201530429349300843,930461940,1,-,-
201530429349301023,440545271,1,-,-
201530429349301108,237373765,1,-,-
201510429349301656,721226741,false,0,0
201510429349301836,043349703,1,-,-
201530439349301208,440545286,1,-,-
201520389349300307,020222154,1,-,-
201510409349300516,850197752,true,5,0
201510409349300646,370864020,1,-,-
201530409349300913,310536647,1,-,-
201530379349301253,470378777,1,-,-
201530419349301803,042104778,1,-,-
201530439349301108,560657294,1,-,-
201510419349300416,440545914,1,-,-
201530429349301473,941585735,1,-,-
201500439349301035,042104258,1,-,-
201510409349300126,237032625,1,-,-
201500439349301630,660379122,true,-,-
201500409349301105,952882724,1,-,-
201510429349300816,042103701,1,-,-
201530439349301688,590949880,true,1,0
201530439349301828,150532239,1,-,-
201540419349301529,231352236,1,-,-
201520379349301037,941698615,1,-,-
201500409349301010,233102135,true,-,-
201540439349300214,251900793,true,-,-
201520429349300812,620484185,1,-,-
201540379349301234,620570060,true,0,0
201520439349301002,930634049,1,-,-
201510419349301561,341226547,1,-,-
201510439349300711,390806263,1,-,-
201500429349301255,440556862,0,-,-
201530419349300023,470376525,true,-,-
201520409349300862,391024723,1,-,-
201520429349300032,430652675,true,-,-
201500419349300505,591237047,true,-,-
201510439349301791,956001907,1,-,-
201520419349301562,540505892,1,-,-
201510409349300951,362177133,1,-,-
201530429349300323,382410852,1,-,-
201500409349300435,540505945,1,-,-
201530439349302123,591146751,true,-,-
201500409349300005,030179299,true,0,0
201520379349301252,381374230,1,3,0
201510419349301001,820200906,1,-,-
201500439349302020,131628149,1,3,0
201500379349300205,251296727,1,-,-
201500419349301715,390477970,1,-,-
201500379349301315,530199507,true,-,-
201500419349301300,540575812,1,-,-
201500439349300100,951744369,1,-,-
201520409349301312,221912028,1,-,-
201540459349300014,560529982,1,-,-
201530509349300018,620475690,true,-,-
201510459349300701,042152671,1,-,-
201510479349302271,952501387,true,-,-
201510479349302316,950549600,true,-,-
201530479349301653,750917417,true,-,-
201510479349301931,760057699,true,-,-
201520479349301632,570314374,1,-,-
201510449349302496,530196640,1,-,-
201530479349301393,362593545,true,-,-
201520449349302127,730579267,true,2,-
201530459349300613,030179419,true,0,0
201540449349301824,620502739,0,-,-
201540499349300029,941156485,1,-,-
201530479349301843,570314408,1,-,-
201530479349301933,351148835,1,-,-
201520449349302627,133508093,true,-,-
201520449349302667,431007642,1,-,-
201530449349302668,430610813,1,-,-
201540449349302909,480547846,true,-,-
201520449349302342,430356250,true,2,0
201520449349302387,370661227,true,0,0
201500489349301365,610444763,1,-,-
201540449349301184,750827409,true,-,-
201530489349300713,620483210,1,-,-
201500489349302270,330804576,true,-,-
201500569349300300,540505977,true,3,-
201530449349301713,540506306,1,-,-
201520559349300512,131740469,true,-,-
201500559349300700,660362666,true,-,-
201530489349302068,310971599,0,-,-
201510449349300026,141468399,true,-,-
201540449349301429,410747165,1,-,-
201520449349301697,741180151,1,-,-
201520489349302187,620814498,1,-,-
201520449349300407,231433899,1,-,-
201520489349302232,931022351,1,-,-
201510519349300311,480543736,true,-,-
201510489349301266,521106842,1,-,-
201500449349301470,951958142,true,-,-
201500449349301620,381624684,true,0,0
201530449349301608,314379435,true,-,-
201540579349300304,344428219,true,-,-
201500559349300515,420680466,1,-,-
201510449349301706,381459365,1,-,-
201530549349300703,160759798,1,-,-
201510489349302246,954579025,true,1,0
201540479349300419,560530242,1,-,-
201540479349300424,941700607,true,0,0
201530489349302263,942382546,1,-,-
201500449349302690,451171945,1,-,-
201510559349300331,470724387,1,1,0
201500479349301665,350868086,true,-,-
201510559349300726,470491571,true,-,-
201520489349301002,420680404,1,-,-
201510489349301166,730579298,1,-,-
201500649349300005,930634049,1,-,-
201510639349300336,952962604,1,1,0
201510589349300401,751081109,true,-,-
201520589349300817,231365953,1,-,-
201500619349300720,716056774,1,-,-
201500619349300775,231526668,1,0,0
201500589349300825,330720978,1,-,-
201540639349300514,750818183,true,-,-
201530619349300303,910564993,1,-,-
201500639349300210,582624570,1,-,-
201530659349300738,237179567,true,-,-
201530719349301038,350935587,true,-,-
201540659349300524,420681046,1,-,-
201500699349300310,240795506,1,-,-
201540719349300709,521699641,true,-,-
201520709349300217,231657958,1,-,-
201520689349300347,930401259,1,3,0
201520659349300107,042103830,0,-,-
201520659349300232,750926755,1,3,0
201510669349300416,620535755,1,-,-
201530709349300823,231627436,true,-,-
201530719349300423,440617326,true,-,-
201520699349300502,480777079,true,-,-
201540709349300964,870212470,true,0,0
201500779349300430,952415066,1,-,-
201520759349300442,941156599,1,-,-
201530729349300518,660201206,1,-,-
201510729349300926,420680372,1,-,-
201520769349300527,640428676,true,1,-
201520769349300712,370661496,1,-,-
201510759349300206,620516509,1,-,-
201510759349300806,952944594,true,0,0
201500729349300130,390806196,1,-,-
201530769349301008,930386858,1,2,0
201540779349300624,231352620,1,-,-
201520729349300742,730739626,1,2,1
201540759349300624,131967322,true,-,-
201520729349300602,610444708,1,-,-
201510729349300421,530196549,true,22,-
201520789349300747,620599339,1,-,-
201500729349301160,381945965,1,1,-
201540769349300104,840402707,1,-,-
201520759349300002,440589787,false,-,-
201510789349300416,952789388,true,0,0
201530869349300908,550394213,1,-,-
201540899349300534,470376551,1,-,-
201500839349300720,351087173,1,-,-
201540909349300434,860931108,1,-,-
201520829349300007,352158366,true,-,-
201500999349300615,340714681,true,2,-
201540829349300124,340714777,true,-,-
201540829349300234,273792158,1,-,-
201520999349300802,420680332,true,0,0
201500929349300400,160743942,1,0,0
201500899349300745,710239576,1,-,-
201540999349301034,720642832,1,-,-
201530909349300818,231352621,1,7,0
201520839349300532,344431169,true,-,-
201510939349300621,020263136,1,-,-
201510919349300216,231522643,1,-,-
201540919349300404,042620216,1,-,-
201520839349300777,910565571,1,-,-
201520849349300322,231352613,1,-,-
201530899349300023,362166962,true,-,-
201540989349300024,410695524,1,-,-
201500979349300030,362169145,true,-,-
201530799349300438,344427951,1,-,-
201530879349300513,141338488,1,-,-
201540809349300609,230465970,true,7,-
201510989349300631,420680389,1,-,-
201510859349300331,135562314,true,-,-
201530919349300233,850365964,1,0,0
201520839349300852,420707114,1,-,-
201540839349300414,560547498,1,-,-
201530869349300308,231585611,-,-,-
201530999349300508,208825983,true,-,-
201520989349300612,042104229,true,4,-
201520919349300232,340714818,1,-,-
201510909349300771,231639911,1,88,88
201510899349300616,560532297,1,-,-
201520869349300342,381358014,1,-,-
201500909349300210,820200907,1,-,-
201520829349300727,272990527,1,-,-
201520869349300737,410693979,true,3,0
201501059349300730,030179424,1,1,-
201501059349300825,480543772,true,-,-
201511039349300231,380321740,true,1,0
201511039349300316,741143128,true,-,-
201541109349300314,560532144,1,-,-
201521139349300132,231476335,false,0,0
201531129349300433,210634981,true,-,-
201511079349300616,133643485,0,-,-
201541059349301114,750800653,true,0,0
201541059349301134,590624440,true,0,0
201501049349300005,160755807,1,-,-
201521049349300802,251120678,1,1,0
201541009349300909,160743989,1,-,-
201521109349300332,340714687,true,-,-
201531109349300123,716056774,1,-,-
201531039349300733,111630830,1,-,-
201531059349300523,750800691,true,-,-
201511049349300316,042199867,true,8,1
201521009349300537,750800689,true,-,-
201501039349300415,141338498,true,-,-
201501059349300245,362167770,1,-,-
201501049349301110,231352674,1,-,-
201511059349301106,420680412,1,1,-
201521039349300437,370711798,0,-,-
201501039349300880,391319049,false,-,-
201531049349300618,943255546,1,-,-
201521049349300007,560529999,1,10,0
201541059349301404,741109661,true,-,-
201541049349300039,237121060,true,-,-
201541069349300219,410693856,1,-,-
201531039349301203,610448560,1,-,-
201541039349301014,260152908,true,-,-
201541009349300504,590624401,1,-,-
201541009349300514,460280847,1,-,-
201511039349300006,756001300,1,-,-
201511039349300541,743075712,true,1,0
201511039349300821,741109633,true,0,0
201511039349300826,910916534,1,-,-
201531059349300223,340714626,1,-,-
201541039349300024,383148566,true,1,0
201511009349300916,010211484,1,2,0
201511049349301106,750827465,true,1,1
201511049349301251,060646623,1,-,-
201501049349300220,951643334,true,5,-
201501049349300235,362167048,true,29,3
201501049349300400,930386972,1,1,0
201541039349300134,382901703,true,-,-
201511049349300521,042300472,true,-,-
201521039349300542,383474281,true,-,-
201501019349300605,440567385,true,-,-
201501019349300800,841123408,1,-,-
201521049349301037,141338562,1,2,-
201541109349300914,941196211,1,-,-
201531039349300023,383333920,true,-,-
201531039349300133,382805044,true,1,0
201531059349300003,560529953,1,-,-
201531059349300108,042104149,1,-,-
201501039349300135,383177823,true,-,-
201501039349300140,231352615,1,-,-
201501039349300210,150545841,true,-,-
201501039349300225,730555460,true,0,0
201501039349300230,383474279,true,-,-
201501039349300305,581363100,1,-,-
201521059349300832,750808791,true,0,0
201501059349300625,710236897,1,-,-
201501119349300145,951921340,1,-,-
201531079349300308,581216007,true,-,-
201511129349300436,221508627,-,-,-
201511039349301351,910236600,1,7,0
201531039349300443,590624458,1,134,19
201531039349300543,620465076,true,-,-
201541039349300544,160743040,true,-,-
201511209349300246,941358307,true,0,0
201511209349300311,231178880,1,-,-
201511209349301011,060662150,1,-,-
201541179349300639,620476301,true,-,-
201541179349300734,251190341,1,-,-
201511259349301201,640303093,true,-,-
201511269349301446,710236896,true,3,-
201511279349301381,420703280,1,-,-
201531149349300613,042002060,1,-,-
201511209349301156,430652667,true,-,-
201511209349300626,132642091,true,-,-
201521189349300822,951684064,1,15,-
201521189349301017,580566212,1,-,-
201521279349301447,546039600,1,-,-
201531209349300203,841029228,1,-,-
201531149349300323,540129860,1,-,-
201521199349300037,356071917,1,-,-
201541149349300514,231365954,1,3,0
201521199349301252,540525605,1,-,-
201501279349301505,943204136,1,-,-
201501269349301770,111635105,true,-,-
201531259349300543,560532314,1,-,-
201511269349301761,314421101,1,-,-
201511279349301166,520591685,false,1,-
201501269349300135,541911091,1,-,-
201521269349300102,560529988,true,-,-
201501179349300810,060646587,true,-,-
201541249349300324,250981156,1,-,-
201541279349302104,231352683,true,-,-
201521279349301697,990272261,1,-,-
201511249349301136,956151774,1,-,-
201511249349300871,240795445,true,24,-
201531219349300123,930398802,true,0,0
201521259349301717,350868152,true,-,-
201521219349300137,341018992,true,-,-
201521219349300202,310536715,true,8,0
201501259349300235,340873175,0,-,-
201511279349301881,141338580,true,1,0
201501269349300445,221500645,true,4,-
201541219349301424,250964126,1,-,-
201501189349301200,042104329,1,-,-
201521269349300222,450323401,true,0,0
201541249349301114,630288870,true,-,-
201541249349301364,061519057,1,1,0
201541249349300544,042103544,1,-,-
201531269349300943,020222120,1,-,-
201531279349300628,720408929,true,-,-
201531279349300403,060646829,true,-,-
201531219349301303,050277222,1,-,-
201531219349301403,390806428,1,-,-
201511149349300311,410693968,1,-,-
201511599349300636,540505977,true,3,-
201521629349300312,951644037,1,-,-
201541549349300644,942202421,true,0,0
201541269349300924,310820394,1,-,-
201541269349301024,741109641,1,-,-
201521609349300412,130429660,1,-,-
201501199349301020,221494428,true,-,-
201511189349300146,361521940,1,-,-
201541259349300934,061645496,true,-,-
201531599349300628,270694073,1,-,-
201531259349301468,250965557,1,2,0
201541219349300039,050465628,1,-,-
201541279349300624,596155069,1,-,-
201511199349300026,256068246,true,5,0
201521749349300732,366205980,1,2,0
201501669349301270,591571122,true,2,0
201531639349300228,362167854,true,-,-
201501699349300320,135604699,true,-,-
201501499349300245,720408946,1,-,-
201541279349301094,430653611,true,209,22
201501319349302570,041081650,true,-,-
201501319349301040,231352632,true,-,-
201501319349301100,150532276,1,-,-
201501319349301510,231352213,true,2,0
201501329349301100,050258810,true,-,-
201501209349300420,420680344,true,0,0
201521769349300802,111630741,true,-,-
201501349349306780,570341191,true,-,-
201501349349306810,250983069,true,-,-
201501349349302790,010212542,1,-,-
